Trial,Speed,Step,Type
0,6,2,Repeating bands
1,3,2,Repeating bands
2,9,2,Repeating bands
3,6,5,Repeating bands
4,3,5,Repeating bands
5,9,5,Repeating bands
6,6,0.5,Repeating bands
7,3,5,Repeating bands
8,9,0.5,Repeating bands
9,6,,Spatial Freq (small to large) 
10,9,,
11,3,,
12,6,,Spatial Freq (reverse)
13,9,,
14,3,,
15,6,,Contrast 
16,IGNORE,,
17,9,,
18,3,,
19,6,,Random
20,9,,
21,3,,
22,6,,Width (wide -> narrow)
23,9,,
24,3,,
25,6,,Width (narrow -> wide) 
26,9,,
27,3,,
28,6,2,Repeating Bands
29,6,,Single Bar
30,6,,
31,9,,
32,6,,Repeating Bands (On/Off 3 X) 
33,6,,Expand Width 
34,6,,Contrast 
35,6,,Frequency 
